state,year,datetime,epiweek,cases,tempmaxw,tempminw,tempw,humidityw,precipw,precipcovw
Bauchi,2018,2018-01-07,1,1.0,29.5,10.8,19.0,36.1,0.0,0.0
Bauchi,2018,2018-01-14,2,0.0,27.6,10.8,19.3,28.1,0.0,0.0
Bauchi,2018,2018-01-21,3,0.0,30.5,11.7,21.2,24.8,0.0,0.0
Bauchi,2018,2018-01-28,4,0.0,28.5,13.1,20.4,30.9,0.0,0.0
Bauchi,2018,2018-02-04,5,0.0,34.6,15.6,24.8,23.8,0.0,0.0
Bauchi,2018,2018-02-11,6,2.0,35.6,16.8,26.9,21.8,0.0,0.0
Bauchi,2018,2018-02-18,7,1.0,32.9,16.7,24.7,25.5,0.0,0.0
Bauchi,2018,2018-02-25,8,0.0,36.7,21.5,29.8,34.6,0.0,0.0
Bauchi,2018,2018-03-04,9,1.0,35.5,15.4,26.6,21.2,0.0,0.0
Bauchi,2018,2018-03-11,10,2.0,36.4,15.7,27.4,17.3,0.0,0.0
Bauchi,2018,2018-03-18,11,1.0,38.4,18.2,28.3,18.7,0.0,0.0
Bauchi,2018,2018-03-25,12,1.0,34.9,19.5,28.1,16.1,0.0,0.0
Bauchi,2018,2018-04-01,13,1.0,36.1,22.9,29.1,20.8,0.0,0.0
Bauchi,2018,2018-04-08,14,0.0,35.4,19.1,28.5,30.7,0.0,0.0
Bauchi,2018,2018-04-15,15,0.0,36.7,25.2,31.1,45.0,0.0,0.0
Bauchi,2018,2018-04-22,16,0.0,35.8,25.7,31.3,49.6,0.0,0.0
Bauchi,2018,2018-04-29,17,0.0,36.8,25.1,30.7,53.3,0.2,8.33
Bauchi,2018,2018-05-06,18,0.0,36.9,22.7,30.3,54.1,0.0,0.0
Bauchi,2018,2018-05-13,19,0.0,33.6,23.0,27.5,63.6,1.1,16.67
Bauchi,2018,2018-05-20,20,0.0,35.8,24.7,29.5,61.9,1.8,16.67
Bauchi,2018,2018-05-27,21,0.0,33.7,24.1,28.0,66.4,2.2,25.0
Bauchi,2018,2018-06-03,22,0.0,31.5,22.8,27.0,68.9,0.9,20.83
Bauchi,2018,2018-06-10,23,0.0,33.2,23.1,27.5,71.4,11.1,16.67
Bauchi,2018,2018-06-17,24,0.0,31.4,22.2,25.4,80.1,10.9,29.17
Bauchi,2018,2018-06-24,25,0.0,27.8,20.3,23.5,85.9,0.4,16.67
Bauchi,2018,2018-07-01,26,0.0,28.2,20.9,23.8,83.9,3.4,20.83
Bauchi,2018,2018-07-08,27,0.0,28.9,20.9,24.5,85.5,11.5,33.33
Bauchi,2018,2018-07-15,28,0.0,28.9,21.6,24.6,83.9,3.9,33.33
Bauchi,2018,2018-07-22,29,0.0,29.3,21.5,24.8,86.3,6.8,37.5
Bauchi,2018,2018-07-29,30,0.0,28.3,21.8,24.6,86.8,22.4,79.17
Bauchi,2018,2018-08-05,31,0.0,27.9,21.3,23.7,84.9,15.3,62.5
Bauchi,2018,2018-08-12,32,0.0,28.5,21.0,23.4,86.4,22.2,70.83
Bauchi,2018,2018-08-19,33,0.0,27.4,21.4,24.2,81.5,12.7,58.33
Bauchi,2018,2018-08-26,34,1.0,28.7,19.9,24.5,81.9,0.4,8.33
Bauchi,2018,2018-09-02,35,0.0,28.3,20.3,23.5,87.2,7.0,75.0
Bauchi,2018,2018-09-09,36,0.0,28.4,20.8,24.1,85.1,18.6,87.5
Bauchi,2018,2018-09-16,37,0.0,29.6,20.9,24.6,85.6,6.1,29.17
Bauchi,2018,2018-09-23,38,0.0,29.4,21.6,24.9,85.2,0.5,12.5
Bauchi,2018,2018-09-30,39,1.0,31.5,21.0,26.3,82.0,12.3,41.67
Bauchi,2018,2018-10-07,40,0.0,30.3,21.6,25.5,84.4,0.5,8.33
Bauchi,2018,2018-10-14,41,0.0,31.0,20.6,25.8,79.4,1.8,8.33
Bauchi,2018,2018-10-21,42,0.0,34.1,21.1,27.4,52.9,0.0,0.0
Bauchi,2018,2018-10-28,43,0.0,33.2,21.0,26.1,71.9,1.1,12.5
Bauchi,2018,2018-11-04,44,0.0,33.5,19.6,26.4,45.0,0.0,0.0
Bauchi,2018,2018-11-11,45,0.0,32.7,15.0,23.0,43.8,0.0,0.0
Bauchi,2018,2018-11-18,46,0.0,33.1,15.0,23.8,48.8,0.0,0.0
Bauchi,2018,2018-11-25,47,0.0,31.5,14.6,22.5,39.3,0.0,0.0
Bauchi,2018,2018-12-02,48,0.0,30.1,15.8,22.4,40.0,0.0,0.0
Bauchi,2018,2018-12-09,49,1.0,28.8,14.0,21.4,37.1,0.0,0.0
Bauchi,2018,2018-12-16,50,4.0,31.7,13.0,22.1,33.2,0.0,0.0
Bauchi,2018,2018-12-23,51,2.0,27.3,12.1,19.3,33.4,0.0,0.0
Bauchi,2018,2018-12-31,52,5.0,28.2,13.5,20.3,33.3,0.0,0.0
Bauchi,2019,2019-01-06,1,3.0,27.9,13.2,20.200000000000003,28.849999999999998,0.0,0.0
Bauchi,2019,2019-01-13,2,3.0,30.7,14.8,22.4,25.0,0.0,0.0
Bauchi,2019,2019-01-20,3,7.0,32.9,13.1,23.4,35.2,0.0,0.0
Bauchi,2019,2019-01-27,4,3.0,32.0,16.2,24.0,24.7,0.0,0.0
Bauchi,2019,2019-02-03,5,4.0,32.9,16.2,25.0,27.3,0.0,0.0
Bauchi,2019,2019-02-10,6,0.0,28.9,13.7,21.4,25.8,0.0,0.0
Bauchi,2019,2019-02-17,7,8.0,30.5,14.6,22.0,19.6,0.0,0.0
Bauchi,2019,2019-02-24,8,1.0,34.0,23.3,27.9,59.7,3.9,29.17
Bauchi,2019,2019-03-03,9,2.0,35.4,20.0,27.2,21.2,0.0,0.0
Bauchi,2019,2019-03-10,10,1.0,36.3,19.8,27.9,22.9,0.0,0.0
Bauchi,2019,2019-03-17,11,3.0,35.9,19.7,27.7,17.2,0.0,0.0
Bauchi,2019,2019-03-24,12,3.0,37.0,20.4,28.8,18.2,0.0,0.0
Bauchi,2019,2019-03-31,13,2.0,36.9,21.4,29.7,18.5,0.0,0.0
Bauchi,2019,2019-04-07,14,2.0,38.1,25.6,32.2,42.3,0.0,0.0
Bauchi,2019,2019-04-14,15,0.0,34.9,23.9,29.6,49.6,0.1,4.17
Bauchi,2019,2019-04-21,16,0.0,39.6,21.2,30.9,24.1,0.0,0.0
Bauchi,2019,2019-04-28,17,0.0,37.0,20.6,29.3,33.1,0.0,0.0
Bauchi,2019,2019-05-05,18,0.0,38.7,25.3,32.0,47.1,0.0,0.0
Bauchi,2019,2019-05-12,19,0.0,32.0,24.3,27.3,75.3,1.6,12.5
Bauchi,2019,2019-05-19,20,0.0,34.0,24.2,28.2,67.6,2.0,20.83
Bauchi,2019,2019-05-26,21,0.0,32.4,24.3,27.7,70.7,3.9,16.67
Bauchi,2019,2019-06-02,22,0.0,28.6,22.9,25.6,79.2,1.4,29.17
