state,year,month,tempmax,tempmin,temp,humidity,precip,precipcover,cases
Bauchi,2018,January,27.9,11.9,19.8,27.9,0.0,0.0,0
Bauchi,2018,February,34.7,18.1,26.5,28.2,0.0,1.0,3
Bauchi,2018,March,36.5,19.4,28.3,21.5,0.0,0.0,5
Bauchi,2018,April,37.0,23.6,30.2,40.3,0.1,1.4,1
Bauchi,2018,May,34.3,23.8,28.6,63.1,1.7,11.3,0
Bauchi,2018,June,31.6,22.6,26.7,73.7,4.8,24.0,0
Bauchi,2018,July,28.7,21.3,24.6,83.8,7.6,40.1,0
Bauchi,2018,August,28.2,20.9,24.0,84.6,9.1,43.4,1
Bauchi,2018,September,29.3,20.8,24.6,84.5,5.8,36.7,1
Bauchi,2018,October,31.8,20.5,25.8,73.1,1.1,9.3,0
Bauchi,2018,November,32.4,15.4,23.6,43.4,0.0,0.0,0
Bauchi,2018,December,28.9,13.6,20.9,35.1,0.0,0.0,12
Bauchi,2019,January,30.6,14.2,22.1,28.7,0.0,0.0,16
Bauchi,2019,February,30.9,16.3,23.5,31.7,0.4,3.9,13
Bauchi,2019,March,36.2,20.2,28.1,23.1,0.0,0.0,11
Bauchi,2019,April,37.7,22.9,30.4,35.1,0.3,1.7,2
Bauchi,2019,May,34.0,24.1,28.5,65.4,4.8,18.4,0
Bauchi,2019,June,29.9,22.2,25.6,80.9,8.6,29.6,0
Bauchi,2019,July,28.5,21.0,24.3,84.9,8.8,40.2,3
Bauchi,2019,August,28.1,20.9,23.9,84.9,9.9,50.0,2
Bauchi,2019,September,29.5,21.1,24.7,84.0,5.9,30.3,0
Bauchi,2019,October,28.9,20.8,24.3,83.7,4.7,28.8,2
Bauchi,2019,November,32.2,17.3,24.5,57.7,0.0,0.1,2
Bauchi,2019,December,29.1,12.4,20.4,39.4,0.0,0.0,4
Bauchi,2020,January,28.0,12.5,19.8,36.1,0.0,0.0,7
Bauchi,2020,February,30.1,14.2,21.8,29.0,0.0,0.0,23
Bauchi,2020,March,35.8,19.0,27.2,28.6,0.0,0.5,12
Bauchi,2020,April,37.6,24.0,30.6,39.3,0.1,0.3,1
Bauchi,2020,May,35.2,24.2,29.5,59.0,1.4,7.4,1
Bauchi,2020,June,32.2,22.7,27.0,72.1,3.4,15.1,0
Bauchi,2020,July,28.7,21.2,24.5,83.9,8.9,37.0,0
Bauchi,2020,August,28.4,21.1,24.2,82.5,8.0,41.9,0
Bauchi,2020,September,28.5,20.7,23.9,85.0,6.2,34.3,0
Bauchi,2020,October,31.1,19.5,25.0,69.3,0.8,6.2,0
Bauchi,2020,November,31.5,16.3,23.5,45.2,0.0,0.0,6
Bauchi,2020,December,31.7,14.4,22.7,41.6,0.0,0.0,2
Bauchi,2021,January,31.2,13.5,22.1,33.9,0.0,0.0,4
Bauchi,2021,February,31.0,14.2,22.3,27.9,0.0,0.0,2
Bauchi,2021,March,35.2,19.6,27.1,29.4,0.0,0.0,2
Bauchi,2021,April,37.4,21.4,29.3,35.8,0.0,0.4,1
Bauchi,2021,May,35.6,23.5,29.3,54.4,0.4,1.6,2
Bauchi,2021,June,32.2,22.4,26.8,70.3,2.9,13.5,0
Bauchi,2021,July,28.4,21.4,24.5,83.1,9.1,36.8,0
Bauchi,2021,August,28.6,21.0,24.3,85.0,8.5,40.3,0
Bauchi,2021,September,29.4,21.1,24.7,84.1,5.4,23.1,0
Bauchi,2021,October,32.5,20.2,25.9,69.3,0.6,4.3,1
Bauchi,2021,November,33.4,17.1,24.9,48.8,0.0,0.0,3
Bauchi,2021,December,29.3,14.3,21.3,37.2,0.0,0.0,22
Bauchi,2022,January,29.4,13.4,20.7,26.6,0.0,0.0,57
Bauchi,2022,February,32.5,14.7,22.9,16.2,0.0,0.0,42
Bauchi,2022,March,36.7,20.1,27.9,13.5,0.0,0.0,8
Bauchi,2022,April,37.9,24.6,30.7,34.1,0.5,5.4,8
Bauchi,2022,May,37.1,24.5,30.2,44.0,0.8,7.5,9
Bauchi,2022,June,32.9,22.0,26.8,59.1,1.7,12.9,6
Bauchi,2022,July,29.5,20.8,24.4,75.2,5.7,29.4,1
Bauchi,2022,August,27.1,20.0,22.9,81.4,7.8,38.6,0
